name,parent_name
21c Museum Hotel,21c Museum Hotels
AKA,AKA
Andaz,Hyatt
Belmond Hotels,Belmond Luxury Hotels
Conrad,Hilton Worldwide
Dorchester Collection,Dorchester Collection
Doyle Collection,The Doyle Collection
Edition,Marriott International
Fairmont,FRHI Hotels & Resorts
Firmdale,Firmdale Hotels
Four Seasons,Four Seasons Hotels & Resorts
Grand Hyatt,Hyatt
InterContinental,Intercontinental Hotels Group
JW Marriott,Marriott International
Langham,Langham Group
Loews,Loews Hotels Company
Lotte Hotels & Resorts,Lotte Hotels & Resorts
Luxury Collection,Marriott International
Mandarin Oriental,Mandarin Oriental Hotel Group
ME,Grupo Sol Melia
Mokara,Omni Hotels & Resorts
Montage,Montage Hotels
Park Hyatt,Hyatt
Regent,FIH Regent Group
Ritz-Carlton,Marriott International
RockResorts,RockResorts
Rosewood,Rosewood Hotels Group
Six Senses,Six Senses
Sixty Hotels,Sixty Collective
Sofitel,Accor Company
St Regis,Marriott International
Taj,The Indian Hotel Company
The Peninsula,The Peninsula Hotel
The Unbound Collection,Hyatt
Thompson Hotels,Two Roads Hospitality
Trump Hotel Collection,Trump Hotel Collection
Valencia Group,Valencia Group
Viceroy,Viceroy
W Hotel,Marriott International
Waldorf Astoria,Hilton Worldwide
Ace Hotel,Ace Hotel Group
Affinia Hotel,Affinia
Autograph Collection,Marriott International
Bridgestreet Accommodations,Bridgestreet Accommodations
Camino Real,Grupo Empresarial Angeles
Canopy by Hilton,Hilton Worldwide
Club Quarters,Club Quarters
Curio Collection,Hilton Worldwide
Delta Hotel,Marriott International
Dolce Hotels & Resorts,Wyndham Worldwide
Embassy Suites,Hilton Worldwide
Fireside Inn & Suites,Lafayette Hotels
Gaylord,Marriott International
Hard Rock,Hard Rock
Hilton,Hilton Worldwide
Hilton Grand Vacations,Hilton Worldwide
Hotel Indigo,Intercontinental Hotels Group
Hotel Nikko,JAL Hotels Company
Hyatt,Hyatt
Hyatt Centric,Hyatt
Hyatt Regency,Hyatt
Instinct Hotels,Aqua Hospitality
Joie De Vivre,Two Roads Hospitality
Kimpton,Intercontinental Hotels Group
Le Meridien,Marriott International
Magnolia,Stout Street Hospitality
Marriott,Marriott International
Marriott Conference Center,Marriott International
MGallery by Sofitel,Accor Company
Millennium,Millennium & Copthorne Global
New Otani,New Otani Hotels
Omni,Omni Hotels & Resorts
Outrigger Resorts,Outrigger Hotels Company
Pan Pacific,Pan Pacific Hotel Group
Pestana,Pestana
Pullman,Accor Company
Radisson Blu,Carlson Hospitality Company
Radisson RED,Carlson Hospitality Company
Red Carnation,Red Carnation
Renaissance,Marriott International
Sheraton Hotel,Marriott International
St. Giles Hotel,St. Giles Hotels
Starhotels,Starhotels
Swissotel,FRHI Hotels & Resorts
Tribute Portfolio,Marriott International
Wanda Vista,Wanda Hotels & Resorts
Warwick Hotel,Warwick Hotels
Westin,Marriott International
Wyndham Grand Hotels,Wyndham Worldwide
AC Hotels by Marriott,Marriott International
aloft Hotel,Marriott International
Apa Hotel,Apa Hotel
Ascend Collection,Choice Hotels International
Aston Hotel,ResortQuest Hawaii Grp
Atton,Atton Hotels S.A.
Best Western Premier,Best Western Hotels & Resorts
BW Premier Collection,Best Western Hotels & Resorts
Cambria hotel & suites,Choice Hotels International
Canad Inn,Canad Inns
citizenM,citizenM Hotels
Club Med,Club Med
Coast Hotels & Resorts USA,Coast Hotels & Resorts
Courtyard,Marriott International
Crowne Plaza,Intercontinental Hotels Group
Dazzler,Fen Hoteles
Disney Hotels,Disney Hotels
DoubleTree,Hilton Worldwide
dusitD2,Dusit Thani Public Company Ltd
element,Marriott International
EVEN Hotels,Intercontinental Hotels Group
Four Points by Sheraton,Marriott International
Graduate Hotel,AJ Capital Partners
Grand America,Grand America Hotels & Resort
Great Wolf Lodge,Great Wolf Lodge
Hilton Garden Inn,Hilton Worldwide
Homewood Suites,Hilton Worldwide
Hyatt House,Hyatt
Hyatt Place,Hyatt
Iberostar Hotels & Resorts,Iberostar Hotels & Resorts
Innside by Melia,Grupo Sol Melia
Jolly,Jolly Hotels
Larkspur Landing,Larkspur
Legacy Vacation Club,Legacy Vacation Club
Mantra,Mantra Hotels Group
Melia,Grupo Sol Melia
Miyako,Miyako Hotels
Novotel,Accor Company
NYLO Hotel,NYLO Hotels
O`Callaghan,O`Callaghan Hotels
Oxford,Oxford Hotels & Inns
Park Plaza,Carlson Hospitality Company
Prince Hotel,Prince Hotels & Resorts
Radisson,Carlson Hospitality Company
Residence Inn,Marriott International
RIU Hotel,Riu Hotels & Resorts
Room Mate,Room Mate Hotels
Shell Vacations Club,Wyndham Extra Holidays
Sonesta Hotel,Sonesta Hotel
Springhill Suites,Marriott International
Staybridge Suites,Intercontinental Hotels Group
Stoney Creek,Stoney Creek Hospitality
Travel Inn,Travel Inn Hotels
Vacation Condos by Outrigger,Outrigger Hotels Company
Westmark,Westmark
Wyndham,Wyndham Worldwide
Wyndham Vacation Resort,Wyndham Vacation Resort
Aqua Hotels & Resorts,Aqua Hospitality
Ayres,Ayres
Best Western Plus,Best Western Hotels & Resorts
Boarders Inn & Suites,Boarders Inn & Suites
Boulders Inn & Suites,Boulders Inn & Suites
Centerstone Hotels,Centerstone Hotels
Chase Suites,Chase Suites
Clarion,Choice Hotels International
Cobblestone,Cobblestone
Comfort Inn,Choice Hotels International
Comfort Suites,Choice Hotels International
Country Inn & Suites,Carlson Hospitality Company
DoubleTree Club,Hilton Worldwide
Drury Inn,Drury Hotels
Drury Inn & Suites,Drury Hotels
Drury Plaza Hotel,Drury Hotels
Drury Suites,Drury Hotels
Fairfield Inn,Marriott International
Hampton,Hilton Worldwide
Holiday Inn,Intercontinental Hotels Group
Holiday Inn Express,Intercontinental Hotels Group
Holiday Inn Select,Intercontinental Hotels Group
Home2 Suites,Hilton Worldwide
Isle of Capri,Isle of Capri
Lexington,Red Lion Hotels Company
Mama Shelter,Accor Company
MOXY,Marriott International
My Place,My Place
OHANA,Outrigger Hotels Company
Oxford Suites,Baney Corporation/Oxford Hotel Group
Park Inn,Carlson Hospitality Company
Phoenix Inn,Phoenix Inn
Red Lion Hotel,Red Lion Hotels Company
Sandman,Northland
Shilo Inn,Shilo Inn
Silver Cloud,Silver Cloud
Sonesta ES Suites,Sonesta ES Suites
TownePlace Suites,Marriott International
Tryp by Wyndham,Wyndham Worldwide
Wyndham Garden Hotel,Wyndham Worldwide
Xanterra,Xanterra Parks & Resorts
Yotel,Yotel
3 Palms,Red Lion Hotels Company
A Victory,A Victory Hotels
AmericInn,AmericInn
Baymont,Wyndham Worldwide
Best Western,Best Western Hotels & Resorts
Cabot Lodge,Cabot Lodge
Candlewood Suites,Intercontinental Hotels Group
ClubHouse,ClubHouse
Crossings by GrandStay,GrandStay Hospitality
Crystal Inn,Crystal Inn
FairBridge Inn,FairBridge Hotels International
GrandStay Residential Suites,GrandStay Hospitality
Hawthorn Suites by Wyndham,Wyndham Worldwide
ibis,Accor Company
ibis Styles,Accor Company
InnSuites Hotel,InnSuites Hotels
La Quinta Inns & Suites,LQ Management LLC
Loyalty Inn,FairBridge Hotels International
MainStay Suites,Choice Hotels International
Oak Tree Inn,Tr Lodging Enterprises Inc
Palace Inn,Palace Inns
Quality Inn,Choice Hotels International
Ramada,Wyndham Worldwide
Red Lion Inn & Suites,Red Lion Hotels Company
Rode Inn,Rode Inn Motels
Settle Inn,Red Lion Hotels Company
Sleep Inn,Choice Hotels International
SureStay Plus,Best Western Hotels & Resorts
SureStay Plus ,Best Western Hotels & Resorts
Tru by Hilton,Hilton Worldwide
UpTown Suites,InTown Suites
Vagabond Inn,Vagabond Inn
Vista,Vista
Wingate by Wyndham,Wyndham Worldwide
Affordable Suites of America,Affordable Suites of America
America`s Best Inn,Red Lion Hotels Company
Americas Best Value Inn,Red Lion Hotels Company
AmeriVu Inn & Suites,Hospitality Lodging Systems
Budget Host,Budget Host
Budget Suites of America,Budget Suites of America
Budgetel,Hospitality Lodging Systems
Country Hearth Inn,Red Lion Hotels Company
Crestwood Suites,Crestwood Suites
Crossland Economy Studios,Westmont Hospitality Group
Days Inn,Wyndham Worldwide
Downtowner Inn,Downtowner Inns
