Scale ID,Chain Scale,Affiliation Name,Aff Parent Company Name,
3,Upscale Chains,25Hours Hotels,25Hours Hotels,
6,Economy Chains,7 Days Inn,7 Days Inn,
5,Midscale Chains,A Victory Hotels,A Victory Hotels International,
6,Economy Chains,A&O Hotel & Hostel,A & O Holding,
5,Midscale Chains,Abad Hotels & Resorts,ABAD Group,
4,Upper Midscale Chains,abba Hoteles,Abba Hoteles,
3,Upscale Chains,ABode,Andrew Brownsword Hotels,
3,Upscale Chains,Abode Apartment Hotels,Iconic Hotels Pty Ltd,
3,Upscale Chains,AC Hotels by Marriott,Marriott International,
2,Upper Upscale Chains,Ace Hotel Group,Ace Hotel Group,
5,Midscale Chains,ACHAT Hotels,ACHAT Hotels,
3,Upscale Chains,acora Hotel & Wohnen,NOVUM Hospitality,
1,Luxury Chains,Address Hotels & Resorts,Emaar Hospitality Group,
2,Upper Upscale Chains,Adina,Toga Far East Hotels,
3,Upscale Chains,Adiwana Hotels,Adiwana Hotels & Resorts,
1,Luxury Chains,Adrian Hoteles,Adrian Hoteles,
4,Upper Midscale Chains,Aerotel,Plaza Premium Group,
2,Upper Upscale Chains,Affinia,Denihan Hospitality Group,
6,Economy Chains,Affordable Suites of America,LG AS Franchisor,
4,Upper Midscale Chains,AHA Hotels,African Hotels & Adventures,
4,Upper Midscale Chains,Ahuja Residency,Ahuja Residences Pvt. Ltd.,
4,Upper Midscale Chains,Aiden by Best Western AF,Best Western Hotels & Resorts,
1,Luxury Chains,AKA,Korman Communities,
5,Midscale Chains,Hotel Akena,Akena Hotels,
4,Upper Midscale Chains,Al Diar,Al Diar Hotels,
6,Economy Chains,Alda Hotels,Alda Hotels,
1,Luxury Chains,Aldemar,Aldemar Resorts,
1,Luxury Chains,Alila Hotels & Resorts,Hyatt,
5,Midscale Chains,all seasonsHotels,Accor Hotels,
5,Midscale Chains,Allegro Resorts,Barcel¨® Hotel Group,
4,Upper Midscale Chains,Allsun Hotels,alltours Flugrelsen GmbH,
3,Upscale Chains,aloft Hotels,Marriott International,
3,Upscale Chains,Alp'Azur Hotels,Alp'Azur Hotels,
2,Upper Upscale Chains,Alpitour World Hotels & Resorts,Alpitour World Hotels & Resorts,
3,Upscale Chains,Alt Hotels,Germain Hotels,
1,Luxury Chains,Althoff Hotel Collection,Althoff Hotels,
3,Upscale Chains,Altis Hotels Group,Altis Hotel Group,
5,Midscale Chains,Alua Hotels & Resorts,AMResorts,
3,Upscale Chains,AMAKS Hotels & Resorts,AMAKS Hotels & Resorts,
1,Luxury Chains,Aman Resort Services Ltd,Aman Resort Services,
2,Upper Upscale Chains,Amarante Hotels & Resorts,MBI Group,
4,Upper Midscale Chains,Amari,Onyx Hospitality Group,
6,Economy Chains,Amaris Hotel,Santika Indonesia Hotels & Resorts,
3,Upscale Chains,Amathus Beach Hotel,Muskita Hotels,
5,Midscale Chains,Amber Hotel,Amber Hotels,
3,Upscale Chains,Amerian Hoteles,Amerian Hoteles,
6,Economy Chains,America's Best Inns,RLH Corporation,
6,Economy Chains,Americas Best Value Inn,RLH Corporation,
5,Midscale Chains,AmericInn,Wyndham Hotels & Resorts,
6,Economy Chains,AmeriVu I & S,Hospitality Lodging Systems,
3,Upscale Chains,Ameron Hotel Collection,Althoff Hotels,
2,Upper Upscale Chains,Amrath Hotels,Amrath Hotels,
1,Luxury Chains,Anantara,Minor International,
1,Luxury Chains,Andaz,Hyatt,
