HotelID,LocationName,LocationAddress,chain,chain1,chain2,chain3,chain4
73111,SURESTAY HOTEL BY BEST WESTERN,1896 S US HIGHWAY 83,1,1,1,1,1
73121,PALM AIRE HOTEL & SUITES,415 S INTERNATIONAL BLVD,0,0,0,0,0
73127,BEST WESTERN HOTEL,889 W BAY AREA BLVD,1,1,1,1,1
73130,HERITAGE INN,1927 SANTA FE DR,0,1,1,0,1
73139,SUPER 8 WACO MALL,6624 WOODWAY DR,1,1,1,1,1
73161,AMERICAN INN,1309 W BROADWAY,1,1,1,1,1
73168,BEST WESTERN PLUS,120 W RIECK RD,1,1,1,1,1
73194,BEST WESTERN TRAIL DUST INN & SUITES,1521 SHANNON RD E,1,1,1,1,1
73204,AMERICAS BEST VALUE INN,1625 W SOUTH LOOP,1,1,1,0,0
73208,BEST WESTERN SNYDER INN,810 E COLISEUM DR,1,1,1,1,1
73213,BEST WESTERN SINTON,8108 US HIGHWAY 77,1,1,1,0,0
73222,AMERICAS BEST VALUE INN,2107 HIGHWAY 36 S,1,1,1,0,0
73227,BEST WESTERN EXECUTIVE INN,1910 N HIGHWAY 175,1,1,1,1,1
73236,DAYS INN LACKLAND AFB,6815 W US HIGHWAY 90,1,0,1,1,0
73242,BEST WESTERN SEAWORLD,6855 NW LOOP 410,1,1,1,1,1
73251,DAYS INN,3017 W LOOP 306,1,1,1,1,1
73254,BEST WESTERN EXECUTIVE INN,1851 N INTERSTATE 35,1,1,1,1,1
73258,AMERICAS BEST VALUE INN,381 N US HIGHWAY 77,1,1,1,1,1
73262,TEXAS INN & SUITES RAYMONDVILLE,118 N EXPRESSWAY,0,0,0,0,0
73264,BEST WESTERN OCEAN VILLA,400 E AVENUE G,1,1,1,1,1
73268,MAGNUSON HOTEL PARK SUITES,640 E PARK BLVD,0,1,1,0,1
73274,QUALITY INN,600 N INTERSTATE 27,1,1,1,0,1
73279,SWISS CLOCK INN,133 S FRONTAGE RD,1,1,1,1,1
73283,BEST WESTERN,1855 N MAIN ST,1,1,1,1,1
73288,BEST WESTERN,2831 PERRYTON PKWY,1,1,1,1,1
73295,BEST WESTERN PALESTINE INN,1601 W PALESTINE AVE,1,1,1,1,1
73304,BEST WESTERN INN & SUITES,1493 N INTERSTATE 35,1,1,1,1,1
73307,AMERICA'S BEST VALUE INN,1024 N CENTER ST,1,1,1,0,0
73315,BEST WESTERN INN OF NAVASOTA,8965 HIGHWAY 6,1,1,1,1,1
73319,BEST WESTERN NORTHPARK INN,4809 NW STALLINGS DR,1,1,1,1,1
73328,BEST WESTERN MT PLEASANT TX,102 E BURTON RD,1,1,1,1,1
73340,BEST WESTERN MIDLOTHIAN INN,220 N HWY 67,1,1,1,1,1
73345,MESQUITE INN,4343 INTERSTATE 30,1,1,1,0,0
73350,ROSE GARDEN INN - MCALLEN,300 E EXPRESSWAY 83,1,1,1,1,1
73354,DAYS INN & SUITES,5555 E END BLVD S,1,1,1,1,1
73361,BEST WESTERN MARBLE FALLS,1403 N US HIGHWAY 281,1,1,1,1,1
73382,BEST WESTERN,901 W YOUNG ST,1,1,1,1,1
